Address,Airbnb Price (Pounds),Bookingcom Price (Pounds)
Barking and Dagenham,60,0
Barnet,75,68
Bexley,54,0
Brent,79,60.8
Bromley,65,0
Camden,108.5,96
City of London,165,136
Croydon,60,46.4
Ealing,79,67.2
Enfield,63,0
Greenwich,75,71.6
Hackney,99,99.2
Hammersmith and Fulham,103,72.4
Haringey,73,74
Harrow,69,0
Havering,60,0
Hillingdon,63,0
Hounslow,71,80
Islington,105,92
Kensington and Chelsea,150,98.4
Kingston upon Thames,73.5,0
Lambeth,80,100
Lewisham,70,68
Merton,80,96.8
Newham,75,64
Redbridge,61,61.6
Richmond upon Thames,95,80
Southwark,86,103.2
Sutton,60,0
Tower Hamlets,88,85.6
Waltham Forest,69,59.2
Wandsworth,90,95.2
Westminster,142,111.2