date,series,value
1997,Spirits,2751
1998,Spirits,2741
1999,Spirits,2911
2000,Spirits,2925
2001,Spirits,2925
2002,Spirits,2922
2003,Spirits,3157
2004,Spirits,3079
2005,Spirits,3230
2006,Spirits,3169
2007,Spirits,3346
2008,Spirits,3505
2009,Spirits,3526
2010,Spirits,3739
2011,Spirits,4405
2012,Spirits,4728
2013,Spirits,5246
2014,Spirits,5015
2015,Spirits,5237
2016,Spirits,5263
2017,Spirits,5694
2018,Spirits,6225
2019,Spirits,6230
2020,Spirits,7683
2021,Spirits,7646
2022,Spirits,7070
2023,Spirits,7003
1997,"Wine, Cider, and Perry",3986
1998,"Wine, Cider, and Perry",4207
1999,"Wine, Cider, and Perry",4541
2000,"Wine, Cider, and Perry",4832
2001,"Wine, Cider, and Perry",5037
2002,"Wine, Cider, and Perry",5366
2003,"Wine, Cider, and Perry",5684
2004,"Wine, Cider, and Perry",5877
2005,"Wine, Cider, and Perry",6013
2006,"Wine, Cider, and Perry",5947
2007,"Wine, Cider, and Perry",6416
2008,"Wine, Cider, and Perry",6541
2009,"Wine, Cider, and Perry",6720
2010,"Wine, Cider, and Perry",7047
2011,"Wine, Cider, and Perry",7441
2012,"Wine, Cider, and Perry",7865
2013,"Wine, Cider, and Perry",8573
2014,"Wine, Cider, and Perry",8231
2015,"Wine, Cider, and Perry",8380
2016,"Wine, Cider, and Perry",8442
2017,"Wine, Cider, and Perry",9069
2018,"Wine, Cider, and Perry",9422
2019,"Wine, Cider, and Perry",9445
2020,"Wine, Cider, and Perry",11721
2021,"Wine, Cider, and Perry",11593
2022,"Wine, Cider, and Perry",11129
2023,"Wine, Cider, and Perry",11808
1997,Beer,2978
1998,Beer,3263
1999,Beer,3103
2000,Beer,3167
2001,Beer,3149
2002,Beer,3264
2003,Beer,3668
2004,Beer,3452
2005,Beer,3310
2006,Beer,3597
2007,Beer,3536
2008,Beer,3501
2009,Beer,4061
2010,Beer,3733
2011,Beer,4021
2012,Beer,4093
2013,Beer,4718
2014,Beer,4598
2015,Beer,4615
2016,Beer,4564
2017,Beer,5153
2018,Beer,5739
2019,Beer,5708
2020,Beer,7393
2021,Beer,7466
2022,Beer,6181
2023,Beer,6338
1997,Tobacco,12471
1998,Tobacco,13261
1999,Tobacco,14078
2000,Tobacco,14139
2001,Tobacco,14201
2002,Tobacco,14215
2003,Tobacco,15342
2004,Tobacco,15458
2005,Tobacco,15652
2006,Tobacco,15509
2007,Tobacco,15448
2008,Tobacco,16332
2009,Tobacco,16905
2010,Tobacco,17633
2011,Tobacco,18599
2012,Tobacco,18967
2013,Tobacco,18902
2014,Tobacco,19054
2015,Tobacco,18151
2016,Tobacco,18015
2017,Tobacco,18091
2018,Tobacco,18546
2019,Tobacco,18106
2020,Tobacco,19683
2021,Tobacco,20173
2022,Tobacco,20207
2023,Tobacco,21044
1997,Narcotics,8360
1998,Narcotics,7827
1999,Narcotics,7555
2000,Narcotics,7578
2001,Narcotics,7414
2002,Narcotics,6767
2003,Narcotics,5586
2004,Narcotics,4804
2005,Narcotics,5387
2006,Narcotics,6881
2007,Narcotics,5171
2008,Narcotics,5428
2009,Narcotics,6783
2010,Narcotics,5165
2011,Narcotics,7217
2012,Narcotics,5764
2013,Narcotics,5221
2014,Narcotics,4453
2015,Narcotics,3355
2016,Narcotics,3038
2017,Narcotics,4307
2018,Narcotics,4077
2019,Narcotics,3631
2020,Narcotics,2831
2021,Narcotics,2776
2022,Narcotics,2848
2023,Narcotics,2700