date,label,value,trend
1971-01-01,1971 Q1,45.22292993630573,45.20653201682159
1971-04-01,1971 Q2,46.07218683651804,45.44805247553263
1971-07-01,1971 Q3,46.92144373673036,45.69086328166413
1971-10-01,1971 Q4,47.23991507430998,45.934971329027384
1972-01-01,1972 Q1,46.92144373673036,46.18038354826457
1972-04-01,1972 Q2,47.77070063694268,46.42710690704552
1972-07-01,1972 Q3,47.87685774946922,46.675148410265535
1972-10-01,1972 Q4,48.40764331210191,46.924515100244285
1973-01-01,1973 Q1,50.318471337579616,47.175214056925746
1973-04-01,1973 Q2,50.318471337579616,47.4272523980792
1973-07-01,1973 Q3,49.787685774946915,47.68063727950133
1973-10-01,1973 Q4,49.575371549893845,47.93537589521941
1974-01-01,1974 Q1,48.40764331210191,48.191475477695484
1974-04-01,1974 Q2,49.15074309978768,48.4489432980318
1974-07-01,1974 Q3,49.68152866242038,48.70778666617717
1974-10-01,1974 Q4,49.15074309978768,48.96801293113457
1975-01-01,1975 Q1,49.575371549893845,49.229629481169745
1975-04-01,1975 Q2,49.044585987261144,49.49264374402102
1975-07-01,1975 Q3,49.044585987261144,49.75706318711013
1975-10-01,1975 Q4,49.89384288747346,50.02289531775428
1976-01-01,1976 Q1,50.84925690021231,50.290147683379296
1976-04-01,1976 Q2,50.74309978768577,50.55882787173385
1976-07-01,1976 Q3,51.38004246284501,50.82894351110494
1976-10-01,1976 Q4,52.22929936305732,51.10050227053447
1977-01-01,1977 Q1,52.33545647558386,51.37351186003697
1977-04-01,1977 Q2,51.69851380042463,51.64798003081849
1977-07-01,1977 Q3,51.910828025477706,51.92391457549668
1977-10-01,1977 Q4,52.653927813163484,52.201323328322054
1978-01-01,1978 Q1,53.07855626326964,52.48021416540038
1978-04-01,1978 Q2,53.503184713375795,52.76059500491633
1978-07-01,1978 Q3,54.14012738853503,53.04247380735827
1978-10-01,1978 Q4,54.24628450106157,53.32585857574427
1979-01-01,1979 Q1,53.82165605095541,53.61075735584935
1979-04-01,1979 Q2,55.9447983014862,53.89717823643389
1979-07-01,1979 Q3,54.989384288747345,54.185129349473264
1979-10-01,1979 Q4,55.4140127388535,54.47461887038878
1980-01-01,1980 Q1,54.989384288747345,54.765655018279745
1980-04-01,1980 Q2,54.67091295116773,55.058246056156825
1980-07-01,1980 Q3,55.30785562632696,55.35240029117667
1980-10-01,1980 Q4,55.4140127388535,55.64812607487774
1981-01-01,1981 Q1,56.15711252653928,55.945431803417435
1981-04-01,1981 Q2,57.11252653927813,56.24432591781048
1981-07-01,1981 Q3,58.174097664543524,56.544816904168556
1981-10-01,1981 Q4,58.70488322717622,56.84691329394127
1982-01-01,1982 Q1,58.917197452229296,57.15062366415835
1982-04-01,1982 Q2,59.87261146496815,57.45595663767318
1982-07-01,1982 Q3,60.509554140127385,57.762920883407595
1982-10-01,1982 Q4,61.252653927813164,58.07152511659803
1983-01-01,1983 Q1,62.95116772823779,58.38177809904295
1983-04-01,1983 Q2,63.16348195329087,58.69368863935159
1983-07-01,1983 Q3,63.481953290870486,59.007265593194106
1983-10-01,1983 Q4,63.37579617834395,59.32251786355294
1984-01-01,1984 Q1,63.588110403397025,59.63945440097562
1984-04-01,1984 Q2,62.42038216560509,59.95808420382889
1984-07-01,1984 Q3,62.42038216560509,60.27841631855416
1984-10-01,1984 Q4,63.16348195329087,60.60045983992436
1985-01-01,1985 Q1,63.8004246284501,60.92422391130219
1985-04-01,1985 Q2,65.07430997876857,61.24971772489967
1985-07-01,1985 Q3,64.96815286624204,61.576950522039134
1985-10-01,1985 Q4,64.96815286624204,61.90593159341563
1986-01-01,1986 Q1,65.39278131634819,62.23667027936067
1986-04-01,1986 Q2,66.02972399150742,62.56917597010744
1986-07-01,1986 Q3,66.45435244161358,62.90345810605737
1986-10-01,1986 Q4,67.3036093418259,63.239526178048216
1987-01-01,1987 Q1,67.40976645435244,63.577389727623476
1987-04-01,1987 Q2,68.04670912951167,63.91705834730331
1987-07-01,1987 Q3,68.78980891719745,64.2585416808569
1987-10-01,1987 Q4,68.895966029724,64.6018494235762
1988-01-01,1988 Q1,69.2144373673036,64.94699132255128
1988-04-01,1988 Q2,69.10828025477707,65.29397717694701
1988-07-01,1988 Q3,69.4267515923567,65.64281683828126
1988-10-01,1988 Q4,69.53290870488323,65.99352021070467
1989-01-01,1989 Q1,69.10828025477707,66.34609725128179
1989-04-01,1989 Q2,69.00212314225053,66.70055797027378
1989-07-01,1989 Q3,69.00212314225053,67.05691243142263
1989-10-01,1989 Q4,69.00212314225053,67.4151707522369
1990-01-01,1990 Q1,69.4267515923567,67.77534310427896
1990-04-01,1990 Q2,69.85138004246284,68.13743971345377
1990-07-01,1990 Q3,69.63906581740976,68.50147086029922
1990-10-01,1990 Q4,70.16985138004246,68.86744688027801
1991-01-01,1991 Q1,70.59447983014861,69.23537816407111
1991-04-01,1991 Q2,71.656050955414,69.60527515787273
1991-07-01,1991 Q3,72.50530785562633,69.97714836368692
1991-10-01,1991 Q4,73.24840764331209,70.35100833962578
1992-01-01,1992 Q1,73.46072186836518,70.72686570020916
1992-04-01,1992 Q2,73.46072186836518,71.10473111666606
1992-07-01,1992 Q3,74.41613588110403,71.48461531723761
1992-10-01,1992 Q4,75.6900212314225,71.86652908748164
1993-01-01,1993 Q1,76.00849256900212,72.2504832705789
1993-04-01,1993 Q2,76.43312101910827,72.63648876764094
1993-07-01,1993 Q3,77.17622080679406,73.02455653801961
1993-10-01,1993 Q4,77.81316348195328,73.41469759961818
1994-01-01,1994 Q1,75.79617834394905,73.8069230292042
1994-04-01,1994 Q2,76.22080679405519,74.20124396272395
1994-07-01,1994 Q3,76.11464968152866,74.59767159561865
1994-10-01,1994 Q4,75.90233545647558,74.99621718314226
1995-01-01,1995 Q1,76.32696390658175,75.39689204068111
1995-04-01,1995 Q2,76.32696390658175,75.79970754407509
1995-07-01,1995 Q3,77.17622080679406,76.20467512994068
1995-10-01,1995 Q4,77.0700636942675,76.61180629599563
1996-01-01,1996 Q1,77.70700636942675,77.02111260138541
1996-04-01,1996 Q2,77.91932059447984,77.4326056670114
1996-07-01,1996 Q3,78.45010615711253,77.8462971758608
1996-10-01,1996 Q4,79.08704883227176,78.26219887333836
1997-01-01,1997 Q1,79.29936305732484,78.68032256759984
1997-04-01,1997 Q2,79.61783439490445,79.10068012988727
1997-07-01,1997 Q3,80.04246284501062,79.52328349486595
1997-10-01,1997 Q4,81.21019108280254,79.9481446609634
1998-01-01,1998 Q1,81.52866242038216,80.37527569070987
1998-04-01,1998 Q2,82.05944798301485,80.80468871108097
1998-07-01,1998 Q3,82.05944798301485,81.23639591384187
1998-10-01,1998 Q4,83.12101910828025,81.67040955589347
1999-01-01,1999 Q1,83.2271762208068,82.1067419596204
1999-04-01,1999 Q2,83.33333333333333,82.54540551324087
1999-07-01,1999 Q3,84.39490445859872,82.9864126711584
1999-10-01,1999 Q4,85.4564755838641,83.42977595431545
2000-01-01,2000 Q1,87.57961783439491,83.87550795054881
2000-04-01,2000 Q2,87.26114649681529,84.32362131494712
2000-07-01,2000 Q3,87.79193205944799,84.77412877021008
2000-10-01,2000 Q4,87.68577494692144,85.2270431070097
2001-01-01,2001 Q1,88.74734607218683,85.68237718435347
2001-04-01,2001 Q2,88.53503184713377,86.14014392994937
2001-07-01,2001 Q3,89.06581740976645,86.60035634057301
2001-10-01,2001 Q4,89.38428874734608,87.06302748243658
2002-01-01,2002 Q1,89.80891719745222,87.5281704915598
2002-04-01,2002 Q2,90.552016985138,87.99579857414294
2002-07-01,2002 Q3,90.552016985138,88.4659250069417
2002-10-01,2002 Q4,91.18895966029724,88.9385631376442
2003-01-01,2003 Q1,91.82590233545648,89.4137263852499
2003-04-01,2003 Q2,92.35668789808918,89.89142824045068
2003-07-01,2003 Q3,93.09978768577494,90.37168226601375
2003-10-01,2003 Q4,94.37367303609342,90.85450209716679
2004-01-01,2004 Q1,93.63057324840764,91.33990144198505
2004-04-01,2004 Q2,94.47983014861995,91.82789408178057
2004-07-01,2004 Q3,94.47983014861995,92.31849387149343
2004-10-01,2004 Q4,93.94904458598727,92.81171474008514
2005-01-01,2005 Q1,94.69214437367303,93.30757069093406
2005-04-01,2005 Q2,95.64755838641187,93.80607580223305
2005-07-01,2005 Q3,95.85987261146497,94.30724422738912
2005-10-01,2005 Q4,96.81528662420382,94.81109019542528
2006-01-01,2006 Q1,97.13375796178345,95.31762801138453
2006-04-01,2006 Q2,97.5583864118896,95.82687205673602
2006-07-01,2006 Q3,97.66454352441613,96.33883678978334
2006-10-01,2006 Q4,97.77070063694266,96.85353674607502
2007-01-01,2007 Q1,98.61995753715499,97.37098653881723
2007-04-01,2007 Q2,98.93842887473461,97.89120085928869
2007-07-01,2007 Q3,99.36305732484075,98.41419447725771
2007-10-01,2007 Q4,99.89384288747345,98.93998224140162
2008-01-01,2008 Q1,99.25690021231422,99.4685790797283
2008-04-01,2008 Q2,100.0,100.0
2008-07-01,2008 Q3,98.40764331210191,100.53426009015946
2008-10-01,2008 Q4,96.81528662420382,101.0713745187583
2009-01-01,2009 Q1,96.4968152866242,101.61135853538764
2009-04-01,2009 Q2,96.4968152866242,102.15422747111106
2009-07-01,2009 Q3,97.0276008492569,102.69999673889993
2009-10-01,2009 Q4,97.34607218683652,103.24868183407094
2010-01-01,2010 Q1,98.51380042462844,103.80029833472611
2010-04-01,2010 Q2,98.72611464968153,104.35486190219501
2010-07-01,2010 Q3,98.83227176220805,104.91238828147947
2010-10-01,2010 Q4,98.51380042462844,105.47289330170055
2011-01-01,2011 Q1,98.72611464968153,106.03639287654802
2011-04-01,2011 Q2,99.89384288747345,106.60290300473211
2011-07-01,2011 Q3,99.57537154989383,107.1724397704378
2011-10-01,2011 Q4,99.89384288747345,107.74501934378145
2012-01-01,2012 Q1,99.89384288747345,108.32065798126987
2012-04-01,2012 Q2,99.04458598726113,108.89937202626193
2012-07-01,2012 Q3,99.04458598726113,109.48117790943253
2012-10-01,2012 Q4,98.72611464968153,110.06609214923911
2013-01-01,2013 Q1,98.83227176220805,110.65413135239064
2013-04-01,2013 Q2,99.25690021231422,111.24531221431909
2013-07-01,2013 Q3,98.72611464968153,111.83965151965349
2013-10-01,2013 Q4,99.25690021231422,112.43716614269643
2014-01-01,2014 Q1,99.15074309978769,113.03787304790315
2014-04-01,2014 Q2,99.15074309978769,113.64178929036322
2014-07-01,2014 Q3,99.68152866242038,114.24893201628474
2014-10-01,2014 Q4,99.78768577494692,114.85931846348117
2015-01-01,2015 Q1,99.68152866242038,115.47296596186072
2015-04-01,2015 Q2,100.31847133757961,116.08989193391837
2015-07-01,2015 Q3,100.5307855626327,116.71011389523055
2015-10-01,2015 Q4,99.15074309978769,117.33364945495242
2016-01-01,2016 Q1,100.10615711252653,117.96051631631784
2016-04-01,2016 Q2,100.5307855626327,118.59073227714197
2016-07-01,2016 Q3,100.7430997876858,119.2243152303266
2016-10-01,2016 Q4,101.16772823779192,119.86128316436815
2017-01-01,2017 Q1,101.380042462845,120.5016541638684
2017-04-01,2017 Q2,101.48619957537154,121.14544641004792
2017-07-01,2017 Q3,102.9723991507431,121.79267818126233
2017-10-01,2017 Q4,103.39702760084926,122.44336785352117
2018-01-01,2018 Q1,102.9723991507431,123.09753390100968
2018-04-01,2018 Q2,103.07855626326963,123.7551948966133
2018-07-01,2018 Q3,102.54777070063695,124.41636951244497
2018-10-01,2018 Q4,102.65392781316349,125.08107652037529
2019-01-01,2019 Q1,102.33545647558387,125.74933479256548
2019-04-01,2019 Q2,102.76008492569002,126.42116330200317
2019-07-01,2019 Q3,103.60934182590233,127.09658112304109
2019-10-01,2019 Q4,103.92781316348196,127.77560743193865
2020-01-01,2020 Q1,103.18471337579618,128.45826150740632
2020-04-01,2020 Q2,100.21231422505308,129.14456273115306
2020-07-01,2020 Q3,108.49256900212313,129.83453058843656
2020-10-01,2020 Q4,104.14012738853502,130.52818466861646
2021-01-01,2021 Q1,104.67091295116772,131.22554466571052
2021-04-01,2021 Q2,106.36942675159236,131.9266303789538
2021-07-01,2021 Q3,105.20169851380041,132.63146171336075
2021-10-01,2021 Q4,106.47558386411889,133.34005868029038
2022-01-01,2022 Q1,105.73248407643312,134.0524413980144
2022-04-01,2022 Q2,105.9447983014862,134.7686300922884
2022-07-01,2022 Q3,106.36942675159236,135.48864509692612
2022-10-01,2022 Q4,106.47558386411889,136.21250685437678
2023-01-01,2023 Q1,105.73248407643312,136.94023591630545
2023-04-01,2023 Q2,106.36942675159236,137.6718529441765
2023-07-01,2023 Q3,107.21868365180467,138.40737870984026
2023-10-01,2023 Q4,106.15711252653928,139.1468340961228
2024-01-01,2024 Q1,105.9447983014862,139.8902400974188
2024-04-01,2024 Q2,106.05095541401275,140.63761782028757
