Prefecture,Positive,Tested,Discharged,Fatal,Hosp_require
Hokkaido,1363114,3964610,717238,4609,17464
Aomori,283617,415661,151129,667,4154
Iwate,238133,742761,103563,624,3177
Miyagi,544388,1362233,204624,970,21146
Akita,203743,81563,89825,603,8393
Yamagata,231254,380397,90443,370,6488
Fukushima,410462,1156057,180682,856,3568
Ibaraki,642582,2491785,301424,1300,19583
Tochigi,427988,1317702,215803,1088,5275
Gunma,444814,1307378,225131,1106,7765
Saitama,1814924,5408789,1160893,4009,17431
Chiba,1478335,3972124,904076,3944,15781
Tokyo,4388368,12606877,3093983,8124,47511
Kanagawa,2239921,7505263,1450734,4335,5291
Niigata,466369,1391520,223993,456,6434
Toyama,240842,519420,123822,324,3098
Ishikawa,283158,763788,155716,523,3860
Fukui,202716,625522,110918,200,1801
Yamanashi,193918,833099,93672,421,1124
Nagano,467686,1547150,465784,899,1671
Gifu,548252,1919178,284881,1126,80
Shizuoka,872961,2652954,478956,1408,8045
Aichi,2124990,6040367,2116392,4363,2786
Mie,464383,1222295,226621,1070,10039
Shiga,376556,1418942,225722,679,5211
Kyoto,684638,1624692,459222,1674,12817
Osaka,2852151,13358903,2032077,8557,17322
Hyogo,1478382,2465506,986750,3908,12856
Nara,349613,1057577,195268,880,29839
Wakayama,241476,319456,129448,530,20
Tottori,144182,1194148,44778,267,9151
Shimane,169939,560152,169229,304,352
Okayama,494204,1283416,492222,857,667
Hiroshima,812114,3366184,409656,1373,15823
Yamaguchi,317028,1253825,158495,757,2876
Tokushima,168197,478692,90741,423,1286
Kagawa,255506,588997,138120,626,2569
Ehime,319202,1035863,156705,701,3730
Kochi,170198,494109,94023,602,4973
Fukuoka,1596875,3918607,1029285,3205,26443
Saga,262447,377021,125171,496,12725
Nagasaki,338746,1211415,177499,647,21269
Kumamoto,537732,540288,320699,1316,6763
Oita,305980,1009928,172076,785,2100
Miyazaki,321876,238860,189320,778,3757
Kagoshima,444973,952045,286186,893,330
Okinawa,583657,1464386,494076,1016,1732