year,id,price
2003,UKI,2.3599999
2003,UKJ,2.3499999
2003,UKK,2.21
2003,UKH,2.25
2003,UKF,2.1300001
2003,UKG,2.1500001
2003,UKE,2.0999999
2003,UKD,2.05
2003,UKC,2.03
2003,UKL,2.05
2003,UKM,2.05
2003,UKN,2.2
2004,UKI,2.4000001
2004,UKJ,2.4000001
2004,UKK,2.29
2004,UKH,2.3
2004,UKF,2.25
2004,UKG,2.2
2004,UKE,2.1800001
2004,UKD,2.0999999
2004,UKC,2.0999999
2004,UKL,2.0999999
2004,UKM,2.05
2004,UKN,2.25
2005,UKI,2.45
2005,UKJ,2.5
2005,UKK,2.3
2005,UKH,2.3499999
2005,UKF,2.3
2005,UKG,2.25
2005,UKE,2.3
2005,UKD,2.1500001
2005,UKC,2.1500001
2005,UKL,2.1900001
2005,UKM,2.1700001
2005,UKN,2.3499999
2006,UKI,2.5
2006,UKJ,2.5999999
2006,UKK,2.45
2006,UKH,2.46
2006,UKF,2.4000001
2006,UKG,2.3
2006,UKE,2.4000001
2006,UKD,2.25
2006,UKC,2.25
2006,UKL,2.3
2006,UKM,2.25
2006,UKN,2.4000001
2007,UKI,2.5999999
2007,UKJ,2.7
2007,UKK,2.55
2007,UKH,2.5999999
2007,UKF,2.5
2007,UKG,2.45
2007,UKE,2.5
2007,UKD,2.3
2007,UKC,2.3499999
2007,UKL,2.3499999
2007,UKM,2.3
2007,UKN,2.5
2008,UKI,2.7
2008,UKJ,2.8
2008,UKK,2.7
2008,UKH,2.8
2008,UKF,2.5999999
2008,UKG,2.55
2008,UKE,2.55
2008,UKD,2.3499999
2008,UKC,2.4000001
2008,UKL,2.5
2008,UKM,2.5
2008,UKN,2.6500001
2009,UKI,2.8
2009,UKJ,2.9000001
2009,UKK,2.8
2009,UKH,2.8499999
2009,UKF,2.7
2009,UKG,2.5999999
2009,UKE,2.6500001
2009,UKD,2.45
2009,UKC,2.5
2009,UKL,2.5999999
2009,UKM,2.5999999
2009,UKN,2.8
2010,UKI,2.9000001
2010,UKJ,3.0
2010,UKK,2.95
2010,UKH,3.0
2010,UKF,2.8499999
2010,UKG,2.7
2010,UKE,2.8499999
2010,UKD,2.495
2010,UKC,2.5999999
2010,UKL,2.77
2010,UKM,2.7
2010,UKN,2.9000001
2011,UKI,3.0999999
2011,UKJ,3.2
2011,UKK,3.0999999
2011,UKH,3.1500001
2011,UKF,2.95
2011,UKG,2.8
2011,UKE,2.95
2011,UKD,2.6500001
2011,UKC,2.7
2011,UKL,2.8
2011,UKM,2.8499999
2011,UKN,3.0
2012,UKI,3.2
2012,UKJ,3.3
2012,UKK,3.3
2012,UKH,3.2
2012,UKF,3.0
2012,UKG,2.8599999
2012,UKE,3.0999999
2012,UKD,2.7
2012,UKC,2.9000001
2012,UKL,2.99
2012,UKM,2.9000001
2012,UKN,3.2
2013,UKI,3.3
2013,UKJ,3.45
2013,UKK,3.4000001
2013,UKH,3.3
2013,UKF,3.0999999
2013,UKG,2.95
2013,UKE,3.1500001
2013,UKD,2.9000001
2013,UKC,2.9000001
2013,UKL,3.045
2013,UKM,2.9400001
2013,UKN,3.2
2014,UKI,3.5999999
2014,UKJ,3.55
2014,UKK,3.5
2014,UKH,3.3
2014,UKF,3.0999999
2014,UKG,2.99
2014,UKE,3.2
2014,UKD,2.95
2014,UKC,2.99
2014,UKL,3.1900001
2014,UKM,3.0
2014,UKN,3.3
2015,UKI,3.7
2015,UKJ,3.5999999
2015,UKK,3.5
2015,UKH,3.4000001
2015,UKF,3.0999999
2015,UKG,3.0
2015,UKE,3.25
2015,UKD,2.95
2015,UKC,2.99
2015,UKL,3.1500001
2015,UKM,3.0
2015,UKN,3.4000001
2016,UKI,3.7
2016,UKJ,3.5999999
2016,UKK,3.55
2016,UKH,3.5
2016,UKF,3.2
2016,UKG,3.05
2016,UKE,3.2
2016,UKD,3.05
2016,UKC,3.0999999
2016,UKL,3.25
2016,UKM,3.0999999
2016,UKN,3.5
2017,UKI,3.8
2017,UKJ,3.8
2017,UKK,3.8
2017,UKH,3.6500001
2017,UKF,3.25
2017,UKG,3.0999999
2017,UKE,3.2
2017,UKD,3.05
2017,UKC,3.0999999
2017,UKL,3.1500001
2017,UKM,3.3
2017,UKN,3.5999999
2018,UKI,3.8499999
2018,UKJ,3.75
2018,UKK,3.79
2018,UKH,3.6500001
2018,UKF,3.4250000500000004
2018,UKG,3.1750000500000004
2018,UKE,3.2
2018,UKD,3.05
2018,UKC,3.1900001
2018,UKL,3.2
2018,UKM,3.3
2018,UKN,3.8
2019,UKI,4.0
2019,UKJ,3.95
2019,UKK,3.9000001
2019,UKH,3.6500001
2019,UKF,3.48
2019,UKG,3.3
2019,UKE,3.4000001
2019,UKD,2.95
2019,UKC,3.1900001
2019,UKL,3.0999999
2019,UKM,3.4000001
2019,UKN,3.9000001
2020,UKI,4.4000001
2020,UKJ,3.95
2020,UKK,3.725
2020,UKH,3.7
2020,UKF,3.5
2020,UKG,3.3
2020,UKE,3.4000001
2020,UKD,2.8
2020,UKC,3.3
2020,UKL,3.0999999
2020,UKM,3.4000001
2020,UKN,4.0
2021,UKI,4.5999999
2021,UKJ,4.0
2021,UKK,3.8900001
2021,UKH,3.8
2021,UKF,3.55
2021,UKG,3.4000001
2021,UKE,3.5
2021,UKD,3.0
2021,UKC,3.3
2021,UKL,3.25
2021,UKM,3.5
2021,UKN,4.5
2022,UKI,4.8499999
2022,UKJ,4.3000002
2022,UKK,4.0
2022,UKH,3.95
2022,UKF,3.75
2022,UKG,3.55
2022,UKE,3.7
2022,UKD,3.4000001
2022,UKC,3.3
2022,UKL,3.4000001
2022,UKM,3.7
2022,UKN,4.5999999
2023,UKI,5.3000002
2023,UKJ,4.6500001
2023,UKK,4.25
2023,UKH,4.4000001
2023,UKF,4.1999998
2023,UKG,3.8
2023,UKE,4.0
2023,UKD,3.75
2023,UKC,3.5999999
2023,UKL,3.75
2023,UKM,3.95
2023,UKN,4.9000001
2024,UKI,5.5999999
2024,UKJ,4.75
2024,UKK,4.5
2024,UKH,4.4200001
2024,UKF,4.2750001
2024,UKG,4.0500002
2024,UKE,4.4000001
2024,UKD,4.0
2024,UKC,3.725
2024,UKL,3.95
2024,UKM,4.1999998
2024,UKN,5.1999998
